,over_draft,credit_usage,credit_history,purpose,current_balance,Average_Credit_Balance,employment,location,personal_status,other_parties,residence_since,property_magnitude,cc_age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class,gender
197,2,12.0,2,2,951.0,2,1,4.0,4,0,4.0,2,27.0,2,0,4.0,2,1.0,0,1,0,1
198,2,24.0,2,1,2760.0,0,4,4.0,0,0,4.0,0,36.0,2,2,1.0,2,1.0,1,1,1,0
199,2,18.0,3,2,4297.0,1,4,4.0,2,0,3.0,0,40.0,0,1,1.0,3,1.0,1,1,0,0
200,0,9.0,4,6,936.0,3,4,4.0,0,0,2.0,2,52.0,0,1,2.0,2,1.0,1,1,1,0
201,1,12.0,2,0,1168.0,1,2,4.0,1,0,3.0,3,27.0,0,1,1.0,1,1.0,0,1,1,0
202,0,27.0,3,9,5117.0,1,3,3.0,0,0,4.0,2,26.0,0,1,2.0,2,1.0,0,1,1,0
203,1,12.0,2,8,902.0,1,3,4.0,1,0,4.0,1,21.0,0,0,1.0,2,1.0,0,1,0,0
204,0,12.0,4,0,1495.0,1,4,4.0,0,0,1.0,3,38.0,0,1,2.0,1,2.0,0,1,1,0
205,1,30.0,4,1,10623.0,1,4,3.0,0,0,4.0,0,38.0,0,2,3.0,3,2.0,1,1,1,0
206,0,12.0,4,2,1935.0,1,4,4.0,0,0,4.0,3,43.0,0,1,3.0,2,1.0,1,1,1,0
207,2,12.0,4,4,1424.0,1,3,4.0,0,0,3.0,1,26.0,0,1,1.0,2,1.0,0,1,1,0
208,1,24.0,2,9,6568.0,1,2,2.0,1,0,2.0,2,21.0,1,1,1.0,1,1.0,0,1,1,0
209,0,12.0,2,1,1413.0,4,3,3.0,0,0,2.0,1,55.0,0,1,1.0,2,1.0,0,0,1,0
210,0,9.0,4,3,3074.0,0,2,1.0,0,0,2.0,3,33.0,0,1,2.0,2,2.0,0,1,1,0
211,0,36.0,2,3,3835.0,0,4,2.0,4,0,4.0,3,45.0,0,1,1.0,1,1.0,1,1,1,1
212,1,27.0,0,9,5293.0,1,0,2.0,0,0,4.0,1,50.0,1,1,2.0,2,1.0,1,1,0,0
213,3,30.0,3,9,1908.0,1,4,4.0,0,0,4.0,3,66.0,0,1,1.0,3,1.0,1,1,0,0
214,0,36.0,4,3,3342.0,0,4,4.0,0,0,2.0,2,51.0,0,1,1.0,2,1.0,1,1,1,0
215,2,6.0,4,8,932.0,0,3,1.0,4,0,3.0,1,39.0,0,1,2.0,1,1.0,0,1,1,1
216,1,18.0,0,9,3104.0,1,3,3.0,0,0,1.0,1,31.0,2,1,1.0,2,1.0,1,1,1,0
217,3,36.0,2,3,3913.0,1,2,2.0,0,0,2.0,3,23.0,0,1,1.0,2,1.0,1,1,1,0
218,1,24.0,2,2,3021.0,1,2,2.0,2,0,2.0,3,24.0,0,0,1.0,1,1.0,0,1,1,0
219,0,10.0,2,0,1364.0,1,2,2.0,4,0,4.0,2,64.0,0,1,1.0,2,1.0,1,1,1,1
220,2,12.0,2,3,625.0,1,1,4.0,1,2,1.0,3,26.0,2,1,1.0,1,1.0,0,1,1,0
221,1,12.0,2,6,1200.0,0,2,4.0,4,0,4.0,1,23.0,2,0,1.0,2,1.0,1,1,1,1
222,0,12.0,2,3,707.0,1,2,4.0,0,0,2.0,3,30.0,2,1,2.0,2,1.0,0,1,1,0
223,0,24.0,3,9,2978.0,0,2,4.0,0,0,4.0,3,32.0,0,1,2.0,2,2.0,1,1,1,0
224,0,15.0,2,1,4657.0,1,2,3.0,0,0,2.0,2,30.0,0,1,1.0,2,1.0,1,1,1,0
225,0,36.0,0,5,2613.0,1,2,4.0,0,0,2.0,2,27.0,0,1,2.0,2,1.0,0,1,1,0
226,2,48.0,2,3,10961.0,4,3,1.0,0,1,2.0,0,27.0,2,1,2.0,2,1.0,1,1,0,0
227,1,12.0,2,2,7865.0,1,4,4.0,0,0,4.0,0,53.0,0,2,1.0,3,1.0,1,1,0,0
228,0,9.0,2,3,1478.0,1,3,4.0,0,0,2.0,2,22.0,0,1,1.0,2,1.0,0,1,0,0
229,1,24.0,2,2,3149.0,1,1,4.0,0,0,1.0,0,22.0,2,2,1.0,2,1.0,0,1,1,0
230,3,36.0,2,3,4210.0,1,2,4.0,0,0,2.0,2,26.0,0,1,1.0,2,1.0,0,1,0,0
231,0,9.0,2,0,2507.0,3,4,2.0,0,0,4.0,0,51.0,0,2,1.0,1,1.0,0,1,1,0
232,0,12.0,2,3,2141.0,2,3,3.0,0,0,1.0,0,35.0,0,1,1.0,2,1.0,0,1,1,0
233,2,18.0,2,3,866.0,1,2,4.0,1,2,2.0,3,25.0,0,1,1.0,1,1.0,0,1,1,0
234,0,4.0,4,3,1544.0,1,3,2.0,0,0,1.0,3,42.0,0,1,3.0,1,2.0,0,1,1,0
235,1,24.0,2,3,1823.0,1,0,4.0,0,0,2.0,2,30.0,1,1,1.0,3,2.0,0,1,0,0
236,2,6.0,2,0,14555.0,0,0,1.0,0,0,2.0,1,23.0,0,1,1.0,0,1.0,1,1,0,0
237,2,21.0,2,9,2767.0,2,4,4.0,2,0,2.0,2,61.0,2,0,2.0,1,1.0,0,1,0,0
238,0,12.0,4,3,1291.0,1,2,4.0,4,0,2.0,1,35.0,0,1,2.0,2,1.0,0,1,1,1
239,1,30.0,2,3,2522.0,1,4,1.0,0,2,3.0,1,39.0,0,1,1.0,2,2.0,0,1,1,0
240,1,24.0,2,0,915.0,0,4,4.0,4,0,2.0,2,29.0,2,1,1.0,2,1.0,0,1,0,1
241,0,6.0,2,3,1595.0,1,3,3.0,0,0,2.0,1,51.0,0,1,1.0,2,2.0,0,1,1,0
242,1,48.0,0,1,4605.0,1,4,3.0,0,0,4.0,0,24.0,0,2,2.0,2,2.0,0,1,0,0
243,0,12.0,4,9,1185.0,1,2,3.0,4,0,2.0,3,27.0,0,1,2.0,2,1.0,0,1,1,1
244,0,12.0,1,8,3447.0,3,2,4.0,4,0,3.0,3,35.0,0,1,1.0,1,2.0,0,1,1,1
245,0,24.0,2,9,1258.0,1,3,4.0,0,0,1.0,3,25.0,0,1,1.0,2,1.0,1,1,1,0
246,0,12.0,4,3,717.0,1,4,4.0,0,0,4.0,3,52.0,0,1,3.0,2,1.0,0,1,1,0
247,0,6.0,0,0,1204.0,2,2,4.0,0,0,1.0,0,35.0,2,0,1.0,2,1.0,0,0,1,0
248,3,24.0,2,2,1925.0,1,2,2.0,0,0,2.0,3,26.0,0,1,1.0,2,1.0,0,1,1,0
249,0,18.0,2,3,433.0,1,0,3.0,4,1,4.0,3,22.0,0,0,1.0,2,1.0,0,1,0,1
250,1,6.0,4,0,666.0,4,3,3.0,4,0,4.0,3,39.0,0,1,2.0,1,1.0,1,1,1,1
251,3,12.0,2,2,2251.0,1,2,1.0,4,0,2.0,2,46.0,0,1,1.0,1,1.0,0,1,1,1
252,2,30.0,2,0,2150.0,1,2,4.0,4,2,2.0,0,24.0,2,1,1.0,2,1.0,0,1,0,1
253,0,24.0,3,2,4151.0,2,2,2.0,0,0,3.0,1,35.0,0,1,2.0,2,1.0,0,1,1,0
254,2,9.0,2,2,2030.0,0,3,2.0,0,0,1.0,2,24.0,0,1,1.0,2,1.0,1,1,1,0
255,2,60.0,3,3,7418.0,0,2,1.0,0,0,1.0,3,27.0,0,1,1.0,1,1.0,0,1,1,0
256,0,24.0,4,3,2684.0,1,2,4.0,0,0,2.0,3,35.0,0,1,2.0,1,1.0,0,1,1,0
257,1,12.0,1,3,2149.0,1,2,4.0,2,0,1.0,0,29.0,0,2,1.0,2,1.0,0,1,0,0
258,0,15.0,2,1,3812.0,2,1,1.0,4,0,4.0,2,23.0,0,1,1.0,2,1.0,1,1,1,1
259,0,11.0,4,3,1154.0,2,0,4.0,4,0,4.0,3,57.0,0,1,3.0,1,1.0,0,1,1,1
260,1,12.0,2,2,1657.0,1,2,2.0,0,0,2.0,3,27.0,0,1,1.0,2,1.0,0,1,1,0
261,1,24.0,2,3,1603.0,1,4,4.0,4,0,4.0,2,55.0,0,1,1.0,2,1.0,0,1,1,1
262,1,18.0,4,0,5302.0,1,4,2.0,0,0,4.0,0,36.0,0,2,3.0,3,1.0,1,1,1,0
263,0,12.0,4,6,2748.0,1,4,2.0,4,0,4.0,0,57.0,2,2,3.0,1,1.0,0,1,1,1
264,0,10.0,4,0,1231.0,1,4,3.0,0,0,4.0,3,32.0,0,1,2.0,1,2.0,0,0,1,0
265,2,15.0,2,3,802.0,1,4,4.0,0,0,3.0,2,37.0,0,1,1.0,2,2.0,0,1,0,0
266,0,36.0,4,9,6304.0,0,4,4.0,0,0,4.0,3,36.0,0,1,2.0,2,1.0,0,1,1,0
267,0,24.0,2,3,1533.0,1,1,4.0,4,0,3.0,2,38.0,1,1,1.0,2,1.0,1,1,1,1
268,1,14.0,2,0,8978.0,1,4,1.0,2,0,4.0,1,45.0,0,1,1.0,3,1.0,1,0,0,0
269,0,24.0,2,3,999.0,0,4,4.0,0,0,2.0,2,25.0,0,1,2.0,2,1.0,0,1,1,0
270,0,18.0,2,0,2662.0,0,3,4.0,0,0,3.0,1,32.0,0,1,1.0,2,1.0,0,0,1,0
271,0,12.0,4,2,1402.0,3,3,3.0,4,0,4.0,2,37.0,0,0,1.0,2,1.0,1,1,1,1
272,2,48.0,1,0,12169.0,0,0,4.0,0,1,4.0,0,36.0,0,2,1.0,3,1.0,1,1,1,0
273,2,48.0,2,3,3060.0,1,3,4.0,0,0,4.0,3,28.0,0,1,2.0,2,1.0,0,1,0,0
274,1,30.0,2,5,11998.0,1,1,1.0,2,0,1.0,0,34.0,0,1,1.0,1,1.0,1,1,0,0
275,0,9.0,2,3,2697.0,1,2,1.0,0,0,2.0,3,32.0,0,1,1.0,2,2.0,0,1,1,0
276,0,18.0,4,3,2404.0,1,2,2.0,4,0,2.0,2,26.0,0,1,2.0,2,1.0,0,1,1,1
277,1,12.0,2,2,1262.0,0,4,2.0,2,0,4.0,1,49.0,0,1,1.0,1,1.0,1,1,1,0
278,0,6.0,2,2,4611.0,1,1,1.0,4,0,4.0,1,32.0,0,1,1.0,2,1.0,0,1,0,1
279,0,24.0,2,3,1901.0,2,2,4.0,0,0,4.0,2,29.0,0,0,1.0,3,1.0,1,1,1,0
280,0,15.0,4,1,3368.0,4,4,3.0,0,0,4.0,0,23.0,0,0,2.0,2,1.0,1,1,1,0
281,0,12.0,2,2,1574.0,1,2,4.0,0,0,2.0,3,50.0,0,1,1.0,2,1.0,0,1,1,0
282,3,18.0,1,3,1445.0,0,3,4.0,0,0,4.0,2,49.0,2,1,1.0,1,1.0,0,1,1,0
283,0,15.0,4,2,1520.0,0,4,4.0,0,0,4.0,1,63.0,0,1,1.0,2,1.0,0,1,1,0
284,2,24.0,4,0,3878.0,2,1,4.0,2,0,2.0,2,37.0,0,1,1.0,2,1.0,1,1,1,0
285,1,47.0,2,0,10722.0,1,1,1.0,4,0,1.0,3,35.0,0,1,1.0,1,1.0,1,1,1,1
286,1,48.0,2,1,4788.0,1,3,4.0,0,0,3.0,1,26.0,0,1,1.0,2,2.0,0,1,1,0
287,2,48.0,3,10,7582.0,2,0,2.0,0,0,4.0,0,31.0,0,2,1.0,3,1.0,1,1,1,0
288,2,12.0,2,3,1092.0,1,2,4.0,4,2,4.0,3,49.0,0,1,2.0,2,1.0,1,1,1,1
289,1,24.0,3,3,1024.0,1,1,4.0,1,0,4.0,3,48.0,1,1,1.0,2,1.0,0,1,0,0
290,0,12.0,2,9,1076.0,1,2,2.0,1,0,2.0,3,26.0,0,1,1.0,2,1.0,1,0,1,0
291,2,36.0,2,1,9398.0,1,1,1.0,1,0,4.0,2,28.0,0,0,1.0,3,1.0,1,1,0,0
292,1,24.0,4,1,6419.0,1,4,2.0,4,0,4.0,0,44.0,0,2,2.0,3,2.0,1,1,1,1
293,3,42.0,4,1,4796.0,1,4,4.0,0,0,4.0,0,56.0,0,2,1.0,2,1.0,0,1,1,0
294,0,48.0,4,9,7629.0,0,4,4.0,2,0,2.0,2,46.0,2,1,2.0,3,2.0,0,1,1,0
295,2,48.0,2,2,9960.0,1,1,1.0,4,0,2.0,2,26.0,0,1,1.0,2,1.0,1,1,0,1
296,0,12.0,2,1,4675.0,0,1,1.0,4,0,4.0,2,20.0,0,0,1.0,2,1.0,0,1,1,1
297,0,10.0,2,0,1287.0,0,4,4.0,0,1,2.0,1,45.0,0,1,1.0,1,1.0,0,0,1,0
298,0,18.0,2,2,2515.0,1,2,3.0,0,0,4.0,3,43.0,0,1,1.0,2,1.0,1,1,1,0
299,2,21.0,4,2,2745.0,4,3,3.0,0,0,2.0,2,32.0,0,1,2.0,2,1.0,1,1,1,0
300,0,6.0,2,0,672.0,1,0,1.0,4,0,4.0,3,54.0,0,1,1.0,0,1.0,1,1,1,1
301,2,36.0,0,3,3804.0,1,2,4.0,4,0,1.0,2,42.0,0,1,1.0,2,1.0,1,1,0,1
302,3,24.0,4,0,1344.0,0,3,4.0,0,0,2.0,3,37.0,2,1,2.0,1,2.0,0,1,0,0
303,1,10.0,4,0,1038.0,1,3,4.0,0,1,3.0,1,49.0,0,1,2.0,2,1.0,1,1,1,0
304,0,48.0,4,0,10127.0,3,2,2.0,0,0,2.0,0,44.0,2,2,1.0,2,1.0,0,1,0,0
305,0,6.0,2,2,1543.0,4,2,4.0,2,0,2.0,3,33.0,0,1,1.0,2,1.0,0,1,1,0
306,0,30.0,2,1,4811.0,0,3,2.0,4,0,4.0,1,24.0,1,0,1.0,1,1.0,0,1,1,1
307,1,12.0,2,3,727.0,2,1,4.0,1,0,3.0,0,33.0,0,1,1.0,1,1.0,1,1,0,0
308,2,8.0,2,2,1237.0,1,2,3.0,4,0,4.0,3,24.0,0,1,1.0,2,1.0,0,1,0,1
309,2,9.0,2,0,276.0,1,2,4.0,1,0,4.0,3,22.0,0,0,1.0,1,1.0,0,1,1,0
310,2,48.0,2,10,5381.0,0,0,3.0,0,0,4.0,0,40.0,2,2,1.0,0,1.0,1,1,1,0
311,0,24.0,2,2,5511.0,2,2,4.0,0,0,1.0,2,25.0,1,1,1.0,2,1.0,0,1,1,0
312,3,24.0,2,2,3749.0,1,1,2.0,4,0,4.0,2,26.0,0,1,1.0,2,1.0,0,1,1,1
313,2,12.0,2,0,685.0,1,3,2.0,1,0,3.0,2,25.0,2,1,1.0,1,1.0,0,1,0,0
314,3,4.0,2,0,1494.0,0,1,1.0,0,0,2.0,3,29.0,0,1,1.0,1,2.0,0,0,1,0
315,1,36.0,1,2,2746.0,1,4,4.0,0,0,4.0,2,31.0,2,1,1.0,2,1.0,0,1,0,0
316,1,12.0,2,2,708.0,1,2,2.0,0,2,3.0,1,38.0,0,1,1.0,1,2.0,0,1,1,0
317,2,24.0,2,2,4351.0,0,2,1.0,4,0,4.0,1,48.0,0,1,1.0,1,1.0,1,1,1,1
318,0,12.0,4,6,701.0,1,2,4.0,0,0,2.0,2,32.0,0,1,2.0,2,1.0,0,1,1,0
319,1,15.0,3,2,3643.0,1,4,1.0,4,0,4.0,1,27.0,0,1,2.0,1,1.0,0,1,1,1
320,2,30.0,4,0,4249.0,1,0,4.0,1,0,2.0,2,28.0,0,1,2.0,3,1.0,0,1,0,0
321,1,24.0,2,3,1938.0,1,1,4.0,2,0,3.0,1,32.0,0,1,1.0,2,1.0,0,1,0,0
322,1,24.0,2,1,2910.0,1,3,2.0,0,0,1.0,0,34.0,0,2,1.0,3,1.0,1,1,1,0
323,1,18.0,2,2,2659.0,4,2,4.0,0,0,2.0,2,28.0,0,1,1.0,2,1.0,0,1,1,0
324,0,18.0,4,0,1028.0,1,2,4.0,4,0,3.0,3,36.0,0,1,2.0,2,1.0,0,1,1,1
325,1,8.0,4,0,3398.0,1,3,1.0,0,0,4.0,3,39.0,0,1,2.0,1,1.0,0,0,1,0
326,0,12.0,4,2,5801.0,0,4,2.0,0,0,4.0,1,49.0,0,0,1.0,2,1.0,1,1,1,0
327,0,24.0,2,0,1525.0,4,3,4.0,4,0,3.0,2,34.0,0,1,1.0,2,2.0,1,1,1,1
328,3,36.0,2,3,4473.0,1,4,4.0,0,0,2.0,2,31.0,0,1,1.0,2,1.0,0,1,1,0
329,2,6.0,2,3,1068.0,1,4,4.0,0,0,4.0,2,28.0,0,1,1.0,2,2.0,0,1,1,0
330,1,24.0,4,1,6615.0,1,0,2.0,0,0,4.0,0,75.0,0,2,2.0,3,1.0,1,1,1,0
331,0,18.0,4,6,1864.0,2,2,4.0,4,0,2.0,3,30.0,0,1,2.0,2,1.0,0,1,0,1
332,2,60.0,2,0,7408.0,2,1,4.0,4,0,2.0,1,24.0,0,1,1.0,3,1.0,0,1,0,1
333,0,48.0,4,1,11590.0,2,2,2.0,4,0,4.0,2,24.0,2,0,2.0,1,1.0,0,1,0,1
334,1,24.0,0,2,4110.0,1,4,3.0,0,0,4.0,0,23.0,2,0,2.0,2,2.0,0,1,0,0
335,1,6.0,4,2,3384.0,1,2,1.0,2,0,4.0,3,44.0,0,0,1.0,3,1.0,1,1,0,0
336,2,13.0,2,3,2101.0,1,1,2.0,4,2,4.0,1,23.0,0,1,1.0,1,1.0,0,1,1,1
337,1,15.0,2,4,1275.0,0,2,4.0,4,0,2.0,2,24.0,0,0,1.0,2,1.0,0,1,0,1
338,1,24.0,2,2,4169.0,1,2,4.0,0,0,4.0,1,28.0,0,1,1.0,2,1.0,0,1,1,0
339,2,10.0,2,2,1521.0,1,2,4.0,2,0,2.0,2,31.0,0,1,1.0,1,1.0,0,1,1,0
340,2,24.0,4,6,5743.0,1,1,2.0,4,0,4.0,0,24.0,0,2,2.0,2,1.0,1,1,1,1
341,1,21.0,2,2,3599.0,1,3,1.0,4,0,4.0,2,26.0,0,0,1.0,1,1.0,0,1,1,1
342,2,18.0,2,3,3213.0,3,1,1.0,1,0,3.0,3,25.0,0,0,1.0,2,1.0,0,1,1,0
343,2,18.0,2,9,4439.0,1,4,1.0,0,1,1.0,3,33.0,2,1,1.0,3,1.0,1,1,1,0
344,3,10.0,2,0,3949.0,1,1,1.0,0,2,1.0,1,37.0,0,1,1.0,1,2.0,0,1,1,0
345,0,15.0,4,3,1459.0,1,2,4.0,4,0,2.0,2,43.0,0,1,1.0,1,1.0,0,1,1,1
346,2,13.0,4,3,882.0,1,1,4.0,0,2,4.0,3,23.0,0,1,2.0,2,1.0,0,1,1,0
347,2,24.0,2,3,3758.0,3,0,1.0,4,0,4.0,0,23.0,0,0,1.0,0,1.0,0,1,1,1
348,0,6.0,3,9,1743.0,2,2,1.0,0,0,2.0,3,34.0,0,1,2.0,1,1.0,0,1,1,0
349,2,9.0,4,6,1136.0,4,4,4.0,0,0,3.0,0,32.0,0,2,2.0,2,2.0,0,1,0,0
350,0,9.0,2,4,1236.0,1,1,1.0,4,0,4.0,3,23.0,0,0,1.0,2,1.0,1,1,1,1
351,2,9.0,2,2,959.0,1,2,1.0,4,0,2.0,2,29.0,0,1,1.0,2,1.0,0,0,0,1
352,0,18.0,4,1,3229.0,0,0,2.0,0,0,4.0,0,38.0,0,1,1.0,3,1.0,1,1,1,0
353,1,12.0,0,3,6199.0,1,2,4.0,0,0,2.0,1,28.0,0,0,2.0,2,1.0,1,1,0,0
354,0,10.0,2,6,727.0,3,4,4.0,0,0,4.0,0,46.0,0,2,1.0,2,1.0,1,1,1,0
355,2,24.0,2,0,1246.0,1,1,4.0,0,0,2.0,3,23.0,1,1,1.0,1,1.0,0,1,0,0
356,0,12.0,4,3,2331.0,0,4,1.0,0,1,4.0,3,49.0,0,1,1.0,2,1.0,1,1,1,0
357,0,36.0,3,3,4463.0,1,2,4.0,0,0,2.0,2,26.0,0,1,2.0,3,1.0,1,1,0,0
358,0,12.0,2,3,776.0,1,2,4.0,1,0,2.0,3,28.0,0,1,1.0,2,1.0,0,1,1,0
359,1,30.0,2,2,2406.0,1,3,4.0,4,0,4.0,3,23.0,0,0,1.0,2,1.0,0,1,0,1
360,2,18.0,2,6,1239.0,0,2,4.0,0,0,4.0,0,61.0,0,2,1.0,2,1.0,0,1,1,0
361,3,12.0,2,3,3399.0,0,4,2.0,0,0,3.0,2,37.0,0,1,1.0,3,1.0,0,1,1,0
362,3,12.0,3,0,2247.0,1,2,2.0,4,0,2.0,2,36.0,1,1,2.0,2,1.0,1,1,1,1
363,0,6.0,2,2,1766.0,1,2,1.0,1,0,2.0,1,21.0,0,0,1.0,2,1.0,0,1,1,0
364,1,18.0,2,2,2473.0,1,0,4.0,0,0,1.0,2,25.0,0,1,1.0,0,1.0,0,1,0,0
365,0,12.0,2,9,1542.0,1,3,2.0,0,0,4.0,2,36.0,0,1,1.0,2,1.0,1,1,1,0
366,0,18.0,4,1,3850.0,1,3,3.0,0,0,1.0,2,27.0,0,1,2.0,2,1.0,0,1,1,0
367,1,18.0,2,2,3650.0,1,1,1.0,4,0,4.0,2,22.0,0,0,1.0,2,1.0,0,1,1,1
368,1,36.0,2,2,3446.0,1,4,4.0,0,0,2.0,2,42.0,0,1,1.0,2,2.0,0,1,0,0
369,2,18.0,2,2,3001.0,1,3,2.0,4,0,4.0,3,40.0,0,0,1.0,2,1.0,0,1,1,1
370,0,36.0,2,0,3079.0,0,2,4.0,0,0,4.0,3,36.0,0,1,1.0,2,1.0,0,1,1,0
371,0,18.0,4,3,6070.0,1,4,3.0,0,0,4.0,2,33.0,0,1,2.0,2,1.0,1,1,1,0
372,0,10.0,4,2,2146.0,1,1,1.0,4,0,3.0,3,23.0,0,0,2.0,2,1.0,0,1,1,1
373,0,60.0,4,0,13756.0,0,4,2.0,0,0,4.0,0,63.0,2,2,1.0,3,1.0,1,1,1,0
374,2,60.0,1,10,14782.0,2,4,3.0,4,0,4.0,0,60.0,2,2,2.0,3,1.0,1,1,0,1
375,1,48.0,1,9,7685.0,1,3,2.0,4,2,4.0,2,37.0,0,0,1.0,2,1.0,0,1,0,1
376,0,18.0,3,3,2320.0,1,0,2.0,1,0,3.0,3,34.0,0,1,2.0,2,1.0,0,1,1,0
377,0,7.0,3,3,846.0,0,4,3.0,0,0,4.0,0,36.0,0,2,1.0,2,1.0,0,1,1,0
378,2,36.0,2,0,14318.0,1,4,4.0,0,0,2.0,0,57.0,0,2,1.0,3,1.0,1,1,0,0
379,0,6.0,4,0,362.0,2,2,4.0,4,0,4.0,2,52.0,0,1,2.0,1,1.0,0,1,1,1
380,1,20.0,2,2,2212.0,0,3,4.0,0,0,4.0,2,39.0,0,1,1.0,2,1.0,1,1,1,0
381,2,18.0,2,1,12976.0,1,0,3.0,4,0,4.0,0,38.0,0,2,1.0,3,1.0,1,1,0,1
382,0,22.0,2,0,1283.0,0,3,4.0,4,0,4.0,1,25.0,0,0,1.0,2,1.0,0,1,1,1
383,3,12.0,2,0,1330.0,1,1,4.0,0,0,1.0,3,26.0,0,1,1.0,2,1.0,0,1,1,0
384,0,30.0,3,9,4272.0,2,2,2.0,0,0,2.0,1,26.0,0,1,2.0,1,1.0,0,1,1,0
385,0,18.0,4,3,2238.0,1,2,2.0,4,0,1.0,2,25.0,0,1,2.0,2,1.0,0,1,1,1
386,0,18.0,2,3,1126.0,0,1,4.0,4,0,2.0,3,21.0,0,0,1.0,2,1.0,1,1,1,1
387,2,18.0,4,2,7374.0,1,0,4.0,0,0,4.0,1,40.0,1,1,2.0,3,1.0,1,1,1,0
388,2,15.0,4,9,2326.0,3,2,2.0,0,0,4.0,2,27.0,2,1,1.0,2,1.0,0,1,1,0
389,0,9.0,2,9,1449.0,1,3,3.0,4,0,2.0,2,27.0,0,1,2.0,2,1.0,0,1,1,1
390,0,18.0,2,0,1820.0,1,2,2.0,1,0,2.0,1,30.0,0,1,1.0,3,1.0,1,1,1,0
391,2,12.0,2,2,983.0,4,1,1.0,4,0,4.0,3,19.0,0,0,1.0,1,1.0,0,1,1,1
392,1,36.0,2,0,3249.0,1,3,2.0,0,0,4.0,0,39.0,2,2,1.0,3,2.0,1,1,1,0
393,1,6.0,4,3,1957.0,1,3,1.0,4,0,4.0,2,31.0,0,1,1.0,2,1.0,0,1,1,1
394,0,9.0,4,2,2406.0,1,0,2.0,0,0,3.0,2,31.0,0,1,1.0,3,1.0,0,1,1,0
395,2,39.0,3,6,11760.0,2,3,2.0,0,0,3.0,0,32.0,0,0,1.0,2,1.0,1,1,1,0
396,1,12.0,2,2,2578.0,1,0,3.0,4,0,4.0,0,55.0,0,2,1.0,3,1.0,0,1,1,1
